overallNo;noInSeason;title;directedBy;writtenBy;originalAirDate;prodCode;usViewersInMillions
39;4;Bart the Murderer;Rich Moore;John Swartzwelder;October 10, 1991;8F03;20.8
40;5;Homer Defined;Mark Kirkland;Howard Gewirtz;October 17, 1991;8F04;20.6
41;6;Like Father, Like Clown;Jeffrey Lynch & Brad Bird;Jay Kogen & Wallace Wolodarsky;October 24, 1991;8F05;20.2
42;7;Treehouse of Horror II;Jim Reardon;Al Jean, Mike Reiss, Jeff Martin, George Meyer, Sam Simon & John Swartzwelder;October 31, 1991;8F02;20
43;8;Lisa's Pony;Carlos Baeza;Al Jean & Mike Reiss;November 7, 1991;8F06;23
44;9;Saturdays of Thunder;Jim Reardon;Ken Levine & David Isaacs;November 14, 1991;8F07;24.7
45;10;Flaming Moe's;Rich Moore & Alan Smart;Robert Cohen;November 21, 1991;8F08;23.9
46;11;Burns Verkaufen der Kraftwerk;Mark Kirkland;Jon Vitti;December 5, 1991;8F09;21.1
47;12;I Married Marge;Jeffrey Lynch;Jeff Martin;December 26, 1991;8F10;21.9
48;13;Radio Bart;Carlos Baeza;Jon Vitti;January 9, 1992;8F11;24.2
49;14;Lisa the Greek;Rich Moore;Jay Kogen & Wallace Wolodarsky;January 23, 1992;8F12;23.2
50;15;Homer Alone;Mark Kirkland;David M. Stern;February 6, 1992;8F14;23.7
51;16;Bart the Lover;Carlos Baeza;Jon Vitti;February 13, 1992;8F16;20.5
52;17;Homer at the Bat;Jim Reardon;John Swartzwelder;February 20, 1992;8F13;24.6
53;18;Separate Vocations;Jeffrey Lynch;George Meyer;February 27, 1992;8F15;23.7
54;19;Dog of Death;Jim Reardon;John Swartzwelder;March 12, 1992;8F17;23.4
55;20;Colonel Homer;Mark Kirkland;Matt Groening;March 26, 1992;8F19;25.5
56;21;Black Widower;David Silverman;Story by : Thomas Chastain & Sam Simon, Teleplay by : Jon Vitti;April 9, 1992;8F20;17.3
57;22;The Otto Show;Wes Archer;Jeff Martin;April 23, 1992;8F21;17.5
58;23;Bart's Friend Falls in Love;Jim Reardon;Jay Kogen & Wallace Wolodarsky;May 7, 1992;8F22;19.5
59;24;Brother, Can You Spare Two Dimes?;Rich Moore;John Swartzwelder;August 27, 1992;8F23;17.2
60;1;Kamp Krusty;Mark Kirkland;David M. Stern;September 24, 1992;8F24;21.8
61;2;A Streetcar Named Marge;Rich Moore;Jeff Martin;October 1, 1992;8F18;18.3
62;3;Homer the Heretic;Jim Reardon;George Meyer;October 8, 1992;9F01;19.3
63;4;Lisa the Beauty Queen;Mark Kirkland;Jeff Martin;October 15, 1992;9F02;19
64;5;Treehouse of Horror III;Carlos Baeza;Al Jean, Mike Reiss, Jay Kogen, Wallace Wolodarsky, Sam Simon & Jon Vitti;October 29, 1992;9F04;25.1
65;6;Itchy & Scratchy: The Movie;Rich Moore;John Swartzwelder;November 3, 1992;9F03;20.1
66;7;Marge Gets a Job;Jeff Lynch;Bill Oakley & Josh Weinstein;November 5, 1992;9F05;22.9
67;8;New Kid on the Block;Wes Archer;Conan O'Brien;November 12, 1992;9F06;23.1
68;9;Mr. Plow;Jim Reardon;Jon Vitti;November 19, 1992;9F07;24
69;10;Lisa's First Word;Mark Kirkland;Jeff Martin;December 3, 1992;9F08;28.6
70;11;Homer's Triple Bypass;David Silverman;Gary Apple & Michael Carrington;December 17, 1992;9F09;23.6
71;12;Marge vs. the Monorail;Rich Moore;Conan O'Brien;January 14, 1993;9F10;23
72;13;Selma's Choice;Carlos Baeza;David M. Stern;January 21, 1993;9F11;24.5
73;14;Brother from the Same Planet;Jeff Lynch;Jon Vitti;February 4, 1993;9F12;23.8
74;15;I Love Lisa;Wes Archer;Frank Mula;February 11, 1993;9F13;25.2
75;16;Duffless;Jim Reardon;David M. Stern;February 18, 1993;9F14;25.7
76;17;Last Exit to Springfield;Mark Kirkland;Jay Kogen & Wallace Wolodarsky;March 11, 1993;9F15;22.4
77;18;So It's Come to This: A Simpsons Clip Show;Carlos Baeza;Jon Vitti;April 1, 1993;9F17;25.5
78;19;The Front;Rich Moore;Adam I. Lapidus;April 15, 1993;9F16;20.1
79;20;Whacking Day;Jeff Lynch;John Swartzwelder;April 29, 1993;9F18;20
80;21;Marge in Chains;Jim Reardon;Bill Oakley & Josh Weinstein;May 6, 1993;9F20;17.3
81;22;Krusty Gets Kancelled;David Silverman;John Swartzwelder;May 13, 1993;9F19;19.4
82;1;Homer's Barbershop Quartet;Mark Kirkland;Jeff Martin;September 30, 1993;9F21;19.9
83;2;Cape Feare;Rich Moore;Jon Vitti;October 7, 1993;9F22;20.0
84;3;Homer Goes to College;Jim Reardon;Conan O'Brien;October 14, 1993;1F02;18.1
85;4;Rosebud;Wes Archer;John Swartzwelder;October 21, 1993;1F01;19.5
86;5;Treehouse of Horror IV;David Silverman;Conan O'Brien, Bill Oakley & Josh Weinstein, Greg Daniels & Dan McGrath and Bill Canterbury;October 28, 1993;1F04;24.0
87;6;Marge on the Lam;Mark Kirkland;Bill Canterbury;November 4, 1993;1F03;21.7
88;7;Bart's Inner Child;Bob Anderson;George Meyer;November 11, 1993;1F05;18.7
89;8;Boy-Scoutz 'n the Hood;Jeffrey Lynch;Dan McGrath;November 18, 1993;1F06;20.1
90;9;The Last Temptation of Homer;Carlos Baeza;Frank Mula;December 9, 1993;1F07;20.6
91;10;$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling);Wes Archer;Bill Oakley & Josh Weinstein;December 16, 1993;1F08;17.9
92;11;Homer the Vigilante;Jim Reardon;John Swartzwelder;January 6, 1994;1F09;20.1
93;12;Bart Gets Famous;Susie Dietter;John Swartzwelder;February 3, 1994;1F11;20.0
94;13;Homer and Apu;Mark Kirkland;Greg Daniels;February 10, 1994;1F10;21.8
95;14;Lisa vs. Malibu Stacy;Jeffrey Lynch;Bill Oakley & Josh Weinstein;February 17, 1994;1F12;20.5
96;15;Deep Space Homer;Carlos Baeza;David Mirkin;February 24, 1994;1F13;18.2
97;16;Homer Loves Flanders;Wes Archer;David Richardson;March 17, 1994;1F14;18.0
98;17;Bart Gets an Elephant;Jim Reardon;John Swartzwelder;March 31, 1994;1F15;17.0
99;18;Burns' Heir;Mark Kirkland;Jace Richdale;April 14, 1994;1F16;14.7
100;19;Sweet Seymour Skinner's Baadasssss Song;Bob Anderson;Bill Oakley & Josh Weinstein;April 28, 1994;1F18;19.7
101;20;The Boy Who Knew Too Much;Jeffrey Lynch;John Swartzwelder;May 5, 1994;1F19;15.5
102;21;Lady Bouvier's Lover;Wes Archer;Bill Oakley & Josh Weinstein;May 12, 1994;1F21;15.1
103;22;Secrets of a Successful Marriage;Carlos Baeza;Greg Daniels;May 19, 1994;1F20;15.6
104;1;Bart of Darkness;Jim Reardon;Dan McGrath;September 4, 1994;1F22;15.1
105;2;Lisa's Rival;Mark Kirkland;Mike Scully;September 11, 1994;1F17;16.7
106;3;Another Simpsons Clip Show;David Silverman;Penny Wise;September 25, 1994;2F33;13.5
107;4;Itchy & Scratchy Land;Wes Archer;John Swartzwelder;October 2, 1994;2F01;14.8
108;5;Sideshow Bob Roberts;Mark Kirkland;Bill Oakley & Josh Weinstein;October 9, 1994;2F02;14.4
109;6;Treehouse of Horror V;Jim Reardon;Greg Daniels, Dan McGrath, David S. Cohen & Bob Kushell;October 30, 1994;2F03;22.2
110;7;Bart's Girlfriend;Susie Dietter;Jonathan Collier;November 6, 1994;2F04;15.3
111;8;Lisa on Ice;Bob Anderson;Mike Scully;November 13, 1994;2F05;17.9
112;9;Homer Badman;Jeff Lynch;Greg Daniels;November 27, 1994;2F06;17.0
113;10;Grampa vs. Sexual Inadequacy;Wes Archer;Bill Oakley & Josh Weinstein;December 4, 1994;2F07;14.1
114;11;Fear of Flying;Mark Kirkland;David Sacks;December 18, 1994;2F08;15.6
115;12;Homer the Great;Jim Reardon;John Swartzwelder;January 8, 1995;2F09;20.1
116;13;And Maggie Makes Three;Swinton O. Scott III;Jennifer Crittenden;January 22, 1995;2F10;17.3
117;14;Bart's Comet;Bob Anderson;John Swartzwelder;February 5, 1995;2F11;18.7
118;15;Homie the Clown;David Silverman;John Swartzwelder;February 12, 1995;2F12;17.6
119;16;Bart vs. Australia;Wes Archer;Bill Oakley & Josh Weinstein;February 19, 1995;2F13;15.1
120;17;Homer vs. Patty and Selma;Mark Kirkland;Brent Forrester;February 26, 1995;2F14;18.9
121;18;A Star Is Burns;Susie Dietter;Ken Keeler;March 5, 1995;2F31;14.4
122;19;Lisa's Wedding;Jim Reardon;Greg Daniels;March 19, 1995;2F15;14.4
123;20;Two Dozen and One Greyhounds;Bob Anderson;Mike Scully;April 9, 1995;2F18;11.6
124;21;The PTA Disbands;Swinton O. Scott III;Jennifer Crittenden;April 16, 1995;2F19;11.8
125;22;'Round Springfield;Steven Dean Moore;Story by : Mike Reiss & Al Jean, Teleplay by : Joshua Sternin & Jeffrey Ventimilia;April 30, 1995;2F32;12.6
126;23;The Springfield Connection;Mark Kirkland;Jonathan Collier;May 7, 1995;2F21;12.7
127;24;Lemon of Troy;Jim Reardon;Brent Forrester;May 14, 1995;2F22;13.1
128;25;Who Shot Mr. Burns? (Part One);Jeffrey Lynch;Bill Oakley & Josh Weinstein;May 21, 1995;2F16;15.0
129;1;Who Shot Mr. Burns? (Part Two);Wes Archer;Bill Oakley & Josh Weinstein;September 17, 1995;2F20;16.0
130;2;Radioactive Man;Susie Dietter;John Swartzwelder;September 24, 1995;2F17;15.7
131;3;Home Sweet Homediddly-Dum-Doodily;Susie Dietter;Jon Vitti;October 1, 1995;3F01;14.5
132;4;Bart Sells His Soul;Wesley Archer;Greg Daniels;October 8, 1995;3F02;14.8
133;5;Lisa the Vegetarian;Mark Kirkland;David S. Cohen;October 15, 1995;3F03;14.6
134;6;Treehouse of Horror VI;Bob Anderson;John Swartzwelder, Steve Tompkins & David S. Cohen;October 29, 1995;3F04;19.7
135;7;King-Size Homer;Jim Reardon;Dan Greaney;November 5, 1995;3F05;17.0
136;8;Mother Simpson;David Silverman;Richard Appel;November 19, 1995;3F06;15.3
137;9;Sideshow Bob's Last Gleaming;Dominic Polcino;Spike Feresten;November 26, 1995;3F08;14.2
138;10;The Simpsons 138th Episode Spectacular;Pound Foolish;Penny Wise;December 3, 1995;3F31;16.4
139;11;Marge Be Not Proud;Steven Dean Moore;Mike Scully;December 17, 1995;3F07;16.7
140;12;Team Homer;Mark Kirkland;Mike Scully;January 7, 1996;3F10;16.7
141;13;Two Bad Neighbors;Wes Archer;Ken Keeler;January 14, 1996;3F09;16.5
142;14;Scenes from the Class Struggle in Springfield;Susie Dietter;Jennifer Crittenden;February 4, 1996;3F11;14.4
143;15;Bart the Fink;Jim Reardon;Story by : Bob Kushell, Teleplay by : John Swartzwelder;February 11, 1996;3F12;15.0
144;16;Lisa the Iconoclast;Mike B. Anderson;Jonathan Collier;February 18, 1996;3F13;13.4
145;17;Homer the Smithers;Steven Dean Moore;John Swartzwelder;February 25, 1996;3F14;14.1
146;18;The Day the Violence Died;Wesley Archer;John Swartzwelder;March 17, 1996;3F16;14.4
147;19;A Fish Called Selma;Mark Kirkland;Jack Barth;March 24, 1996;3F15;12.9
148;20;Bart on the Road;Swinton O. Scott III;Richard Appel;March 31, 1996;3F17;11.8
149;21;22 Short Films About Springfield;Jim Reardon;Richard Appel, David S. Cohen, Jonathan Collier, Jennifer Crittenden, Greg Daniels, Brent Forrester, Rachel Pulido, Steve Tompkins, Bill Oakley, Josh Weinstein and Matt Groening;April 14, 1996;3F18;10.5
150;22;"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""";Jeffrey Lynch;Jonathan Collier;April 26, 1996;3F19;13.0
151;23;Much Apu About Nothing;Susie Dietter;David S. Cohen;May 5, 1996;3F20;11.3
152;24;Homerpalooza;Wesley Archer;Brent Forrester;May 19, 1996;3F21;12.9
153;25;Summer of 4 Ft. 2;Mark Kirkland;Dan Greaney;May 19, 1996;3F22;14.7
154;1;Treehouse of Horror VII;Mike B. Anderson;Ken Keeler, Dan Greaney & David S. Cohen;October 27, 1996;4F02;18.3
155;2;You Only Move Twice;Mike Anderson;John Swartzwelder;November 3, 1996;3F23;13.9
156;3;The Homer They Fall;Mark Kirkland;Jonathan Collier;November 10, 1996;4F03;17.0
157;4;Burns, Baby Burns;Jim Reardon;Ian Maxtone-Graham;November 17, 1996;4F05;12.6
158;5;Bart After Dark;Dominic Polcino;Richard Appel;November 24, 1996;4F06;14.1
159;6;A Milhouse Divided;Steven Dean Moore;Steve Tompkins;December 1, 1996;4F04;12.8
160;7;Lisa's Date with Density;Susie Dietter;Mike Scully;December 15, 1996;4F01;N/A
161;8;Hurricane Neddy;Bob Anderson;Steve Young;December 29, 1996;4F07;N/A
162;9;El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer);Jim Reardon;Ken Keeler;January 5, 1997;3F24;14.9
163;10;The Springfield Files;Steven Dean Moore;Reid Harrison;January 12, 1997;3G01;20.9
164;11;The Twisted World of Marge Simpson;Chuck Sheetz;Jennifer Crittenden;January 19, 1997;4F08;14.0
165;12;Mountain of Madness;Mark Kirkland;John Swartzwelder;February 2, 1997;4F10;9.1
166;13;Simpsoncalifragilisticexpiala(Annoyed Grunt)cious;Chuck Sheetz;Al Jean & Mike Reiss;February 7, 1997;3G03;17.7
167;14;The Itchy & Scratchy & Poochie Show;Steven Dean Moore;David S. Cohen;February 9, 1997;4F12;15.5
168;15;Homer's Phobia;Mike B. Anderson;Ron Hauge;February 16, 1997;4F11;15.3
169;16;Brother from Another Series;Pete Michels;Ken Keeler;February 23, 1997;4F14;15.1
170;17;My Sister, My Sitter;Jim Reardon;Dan Greaney;March 2, 1997;4F13;15.1
171;18;Homer vs. the Eighteenth Amendment;Bob Anderson;John Swartzwelder;March 16, 1997;4F15;14.6
172;19;Grade School Confidential;Susie Dietter;Rachel Pulido;April 6, 1997;4F09;13.3
173;20;The Canine Mutiny;Dominic Polcino;Ron Hauge;April 13, 1997;4F16;N/A
174;21;The Old Man and the Lisa;Mark Kirkland;John Swartzwelder;April 20, 1997;4F17;14.0
175;22;In Marge We Trust;Steven Dean Moore;Donick Cary;April 27, 1997;4F18;16.9
176;23;Homer's Enemy;Jim Reardon;John Swartzwelder;May 4, 1997;4F19;11.8
177;24;The Simpsons Spin-Off Showcase;Neil Affleck;Story by : Ken Keeler, Teleplay by : David S. Cohen, Dan Greaney and Steve Tompkins;May 11, 1997;4F20;11.6
178;25;The Secret War of Lisa Simpson;Mike B. Anderson;Richard Appel;May 18, 1997;4F21;12.7
179;1;The City of New York vs. Homer Simpson;Jim Reardon;Ian Maxtone-Graham;September 21, 1997;4F22;10.5
180;2;The Principal and the Pauper;Steve Moore;Ken Keeler;September 28, 1997;4F23;14.9
181;3;Lisa's Sax;Dominic Polcino;Al Jean;October 19, 1997;3G02;12.9
182;4;Treehouse of Horror VIII;Mark Kirkland;Mike Scully, David S. Cohen & Ned Goldreyer;October 26, 1997;5F02;10.9
183;5;The Cartridge Family;Pete Michels;John Swartzwelder;November 2, 1997;5F01;10.3
184;6;Bart Star;Dominic Polcino;Donick Cary;November 9, 1997;5F03;10.6
185;7;The Two Mrs. Nahasapeemapetilons;Steven Dean Moore;Richard Appel;November 16, 1997;5F04;11.4
186;8;Lisa the Skeptic;Neil Affleck;David S. Cohen;November 23, 1997;5F05;9.3
187;9;Realty Bites;Swinton Scott;Dan Greaney;December 7, 1997;5F06;10.6
188;10;Miracle on Evergreen Terrace;Bob Anderson;Ron Hauge;December 21, 1997;5F07;9.6
189;11;All Singing, All Dancing;Mark Ervin;Steve O'Donnell;January 4, 1998;5F24;8.9
190;12;Bart Carny;Mark Kirkland;John Swartzwelder;January 11, 1998;5F08;11.7
191;13;The Joy of Sect;Steven Dean Moore;Steve O'Donnell;February 8, 1998;5F23;9.4
192;14;Das Bus;Pete Michels;David S. Cohen;February 15, 1998;5F11;9.6
193;15;The Last Temptation of Krust;Mike B. Anderson;Donick Cary;February 22, 1998;5F10;9.5
194;16;Dumbbell Indemnity;Dominic Polcino;Ron Hauge;March 1, 1998;5F12;10.3
195;17;Lisa the Simpson;Susie Dietter;Ned Goldreyer;March 8, 1998;4F24;10.4
196;18;This Little Wiggy;Neil Affleck;Dan Greaney;March 22, 1998;5F13;8.9
197;19;Simpson Tide;Milton Gray;Joshua Sternin & Jeffrey Ventimilia;March 29, 1998;3G04;9.0
198;20;The Trouble with Trillions;Swinton Scott;Ian Maxtone-Graham;April 5, 1998;5F14;7.4
199;21;Girly Edition;Mark Kirkland;Larry Doyle;April 19, 1998;5F15;8.5
200;22;Trash of the Titans;Jim Reardon;Ian Maxtone-Graham;April 26, 1998;5F09;10.2
201;23;King of the Hill;Steven Dean Moore;John Swartzwelder;May 3, 1998;5F16;9.2
202;24;Lost Our Lisa;Pete Michels;Brian Scully;May 10, 1998;5F17;7.6
203;25;Natural Born Kissers;Klay Hall;Matt Selman;May 17, 1998;5F18;8.6
204;1;Lard of the Dance;Dominic Polcino;Jane O'Brien;August 23, 1998;5F20;7
205;2;The Wizard of Evergreen Terrace;Mark Kirkland;John Swartzwelder;September 20, 1998;5F21;7.95
206;3;Bart the Mother;Steven Dean Moore;David S. Cohen;September 27, 1998;5F22;7.35
207;4;Treehouse of Horror IX;Steven Dean Moore;Donick Cary, Larry Doyle & David S. Cohen;October 25, 1998;AABF01;8.5
208;5;When You Dish Upon a Star;Pete Michels;Richard Appel;November 8, 1998;5F19;9
209;6;D'oh-in' in the Wind;Mark Kirkland & Matthew Nastuk;Donick Cary;November 15, 1998;AABF02;8.3
210;7;"Lisa Gets an ""A""";Bob Anderson;Ian Maxtone-Graham;November 22, 1998;AABF03;8.0
211;8;"Homer Simpson in: ""Kidney Trouble""";Mike B. Anderson;John Swartzwelder;December 6, 1998;AABF04;7.26
212;9;Mayored to the Mob;Swinton O. Scott III;Ron Hauge;December 20, 1998;AABF05;8.5
213;10;Viva Ned Flanders;Neil Affleck;David M. Stern;January 10, 1999;AABF06;11.5
214;11;Wild Barts Can't Be Broken;Mark Ervin;Larry Doyle;January 17, 1999;AABF07;8.8
215;12;Sunday, Cruddy Sunday;Steven Dean Moore;Tom Martin, George Meyer, Brian Scully & Mike Scully;January 31, 1999;AABF08;11.5
216;13;Homer to the Max;Pete Michels;John Swartzwelder;February 7, 1999;AABF09;8.3
217;14;I'm with Cupid;Bob Anderson;Dan Greaney;February 14, 1999;AABF11;7.7
218;15;"Marge Simpson in: ""Screaming Yellow Honkers""";Mark Kirkland;David M. Stern;February 21, 1999;AABF10;8.6
219;16;Make Room for Lisa;Matthew Nastuk;Brian Scully;February 28, 1999;AABF12;7.6
220;17;Maximum Homerdrive;Swinton O. Scott III;John Swartzwelder;March 28, 1999;AABF13;15.5
221;18;Simpsons Bible Stories;Nancy Kruse;Tim Long, Larry Doyle & Matt Selman;April 4, 1999;AABF14;12.2
222;19;Mom and Pop Art;Steven Dean Moore;Al Jean;April 11, 1999;AABF15;8.5
223;20;"The Old Man and the ""C"" Student";Mark Kirkland;Julie Thacker;April 25, 1999;AABF16;6.9
224;21;Monty Can't Buy Me Love;Mark Ervin;John Swartzwelder;May 2, 1999;AABF17;7.26
225;22;They Saved Lisa's Brain;Pete Michels;Matt Selman;May 9, 1999;AABF18;6.8
226;23;Thirty Minutes Over Tokyo;Jim Reardon;Donick Cary & Dan Greaney;May 16, 1999;AABF20;8
227;1;Beyond Blunderdome;Steven Dean Moore;Mike Scully;September 26, 1999;AABF23;8.1
228;2;Brother's Little Helper;Mark Kirkland;George Meyer;October 3, 1999;AABF22;7.1
229;3;Guess Who's Coming to Criticize Dinner?;Nancy Kruse;Al Jean;October 24, 1999;AABF21;6.7
230;4;Treehouse of Horror X;Pete Michels;Donick Cary & Tim Long & Ron Hauge;October 31, 1999;BABF01;8.7
231;5;E-I-E-I-(Annoyed Grunt);Bob Anderson;Ian Maxtone-Graham;November 7, 1999;AABF19;8.4
232;6;Hello Gutter, Hello Fadder;Mike B. Anderson;Al Jean;November 14, 1999;BABF02;9.2
233;7;Eight Misbehavin';Steven Dean Moore;Matt Selman;November 21, 1999;BABF03;9.2
234;8;Take My Wife, Sleaze;Neil Affleck;John Swartzwelder;November 28, 1999;BABF05;8.9
235;9;Grift of the Magi;Matthew Nastuk;Tom Martin;December 19, 1999;BABF07;7.76
236;10;Little Big Mom;Mark Kirkland;Carolyn Omine;January 9, 2000;BABF04;10
237;11;Faith Off;Nancy Kruse;Frank Mula;January 16, 2000;BABF06;10.4
238;12;The Mansion Family;Michael Polcino;John Swartzwelder;January 23, 2000;BABF08;11.3
239;13;Saddlesore Galactica;Lance Kramer;Tim Long;February 6, 2000;BABF09;9.6
240;14;Alone Again, Natura-Diddily;Jim Reardon;Ian Maxtone-Graham;February 13, 2000;BABF10;10.8
241;15;Missionary: Impossible;Steven Dean Moore;Ron Hauge;February 20, 2000;BABF11;9.8
242;16;Pygmoelian;Mark Kirkland;Larry Doyle;February 27, 2000;BABF12;9.4
243;17;Bart to the Future;Michael Marcantel;Dan Greaney;March 19, 2000;BABF13;8.77
244;18;Days of Wine and D'oh'ses;Neil Affleck;Deb Lacusta & Dan Castellaneta;April 9, 2000;BABF14;8.3
245;19;Kill the Alligator and Run;Jen Kamerman;John Swartzwelder;April 30, 2000;BABF16;7.46
246;20;Last Tap Dance in Springfield;Nancy Kruse;Julie Thacker;May 7, 2000;BABF15;7.3
247;21;It's a Mad, Mad, Mad, Mad Marge;Steven Dean Moore;Larry Doyle;May 14, 2000;BABF18;7.5
248;22;Behind the Laughter;Mark Kirkland;Tim Long, George Meyer, Mike Scully & Matt Selman;May 21, 2000;BABF19;8.3
249;1;Treehouse of Horror XI;Matthew Nastuk;Rob LaZebnik & John Frink & Don Payne & Carolyn Omine;November 1, 2000;BABF21;13.2
250;2;A Tale of Two Springfields;Shaun Cashman;John Swartzwelder;November 5, 2000;BABF20;16.2
251;3;Insane Clown Poppy;Bob Anderson;John Frink & Don Payne;November 12, 2000;BABF17;16.4
252;4;Lisa the Tree Hugger;Steven Dean Moore;Matt Selman;November 19, 2000;CABF01;14.9
253;5;Homer vs. Dignity;Neil Affleck;Rob LaZebnik;November 26, 2000;CABF04;15
254;6;The Computer Wore Menace Shoes;Mark Kirkland;John Swartzwelder;December 3, 2000;CABF02;15.6
255;7;The Great Money Caper;Michael Polcino;Carolyn Omine;December 10, 2000;CABF03;16.8
256;8;Skinner's Sense of Snow;Lance Kramer;Tim Long;December 17, 2000;CABF06;15.9
257;9;HOMR;Mike Anderson;Al Jean;January 7, 2001;BABF22;18.5
258;10;Pokey Mom;Bob Anderson;Tom Martin;January 14, 2001;CABF05;15
259;11;Worst Episode Ever;Matthew Nastuk;Larry Doyle;February 4, 2001;CABF08;18.5
260;12;Tennis the Menace;Jen Kamerman;Ian Maxtone-Graham;February 11, 2001;CABF07;14
261;13;Day of the Jackanapes;Michael Marcantel;Al Jean;February 18, 2001;CABF10;15.4
262;14;New Kids on the Blecch;Steven Dean Moore;Tim Long;February 25, 2001;CABF12;18.1
263;15;Hungry, Hungry Homer;Nancy Kruse;John Swartzwelder;March 4, 2001;CABF09;17.6
264;16;Bye Bye Nerdie;Lauren MacMullan;John Frink & Don Payne;March 11, 2001;CABF11;16.1
265;17;Simpson Safari;Mark Kirkland;John Swartzwelder;April 1, 2001;CABF13;13.3
266;18;Trilogy of Error;Mike B. Anderson;Matt Selman;April 29, 2001;CABF14;14.4
267;19;I'm Goin' to Praiseland;Chuck Sheetz;Julie Thacker;May 6, 2001;CABF15;13.1
268;20;Children of a Lesser Clod;Mike Polcino;Al Jean;May 13, 2001;CABF16;13.8
